url,scrap_url
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-aked-mara-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-bagan-darat-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-bagan-serong-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-bazar-mara-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-belahan-tampok-laut-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-jalan-belakang-tokong-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-jalan-besar-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-jalan-hoe-heng-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-jalan-hoe-hing-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-jalan-muhibbah-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-jalan-pak-awang-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-jalan-parit-mesjid-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-kampung-bagan-darat-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-kampung-bagan-laut-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-kampung-bumiputra-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-kampung-jambi-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-kampung-jambi-darat-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-kampung-jambi-laut-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-kampung-jambi-tengah-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-kampung-jaya-diri-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-aked-mara-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-bagan-darat-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-bagan-serong-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-bazar-mara-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-belahan-tampok-laut-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-jalan-belakang-tokong-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-jalan-besar-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-jalan-hoe-heng-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-jalan-hoe-hing-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-jalan-muhibbah-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-jalan-pak-awang-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-jalan-parit-mesjid-83100.html
https://postcode.my/location/johor/rengit/?page=1,https://postcode.my/johor-rengit-kampung-bagan-darat-83100.html
